publication_ns,interval_end_ns,gap_m,relative_speed_mps,ego_speed_mps,ego_position_m,lead_position_m,lead_speed_mps,command_mps2,sampled_gap_m,sampled_relative_speed_mps,sampled_ego_speed_mps,applied_mps2
2210000000,2220000000,56.51386963114111,-2.787380150601507,27.787380150601507,59.014010217788325,115.5,25.0,0.10867887443544166,56.54173676085605,-2.7860457923850284,27.78604579238503,0.120948468375214
2220000000,2230000000,56.485989782211675,-2.788589635285259,27.78858963528526,59.291901548084894,115.75,25.0,0.09662361111178974,56.51386963114111,-2.787380150601507,27.787380150601507,0.10867887443544166
2230000000,2240000000,56.458098451915106,-2.789676424029615,27.789676424029615,59.569803143505744,116.0,25.0,0.08477930290701474,56.485989782211675,-2.788589635285259,27.78858963528526,0.09662361111178974
2240000000,2250000000,56.430196856494256,-2.7906426601407333,27.790642660140733,59.847713809072296,116.25,25.0,0.07314262671919991,56.458098451915106,-2.789676424029615,27.789676424029615,0.08477930290701474
2250000000,2260000000,56.402286190927704,-2.7914904531698035,27.791490453169803,60.12563237073533,116.5,25.0,0.06171031103022484,56.430196856494256,-2.7906426601407333,27.790642660140733,0.07314262671919991
2260000000,2270000000,56.37436762926467,-2.792221879436994,27.792221879436994,60.403557675045256,116.75,25.0,0.05047913510678459,56.402286190927704,-2.7914904531698035,27.791490453169803,0.06171031103022484
2270000000,2280000000,56.346442324954744,-2.792838982547295,27.792838982547295,60.681488588827484,117.0,25.0,0.039445928213819315,56.37436762926467,-2.792221879436994,27.792221879436994,0.05047913510678459
2280000000,2290000000,56.318511411172516,-2.793343773898364,27.793343773898364,60.959423998862874,117.25,25.0,0.02860756884007687,56.346442324954744,-2.792838982547295,27.792838982547295,0.039445928213819315
2290000000,2300000000,56.290576001137126,-2.793738233180502,27.793738233180502,61.23736281157312,117.5,25.0,0.01796098393570089,56.318511411172516,-2.793343773898364,27.793343773898364,0.02860756884007687
2300000000,2310000000,56.26263718842688,-2.7940243088689023,27.794024308868902,61.515303952711,117.75,25.0,0.007503148161629003,56.290576001137126,-2.793738233180502,27.793738233180502,0.01796098393570089
2310000000,2320000000,56.234696047289,-2.7942039187082592,27.79420391870826,61.79324636705549,118.0,25.0,-0.0027689168494493543,56.26263718842688,-2.7940243088689023,27.794024308868902,0.007503148161629003
2320000000,2330000000,56.20675363294451,-2.7942789501898773,27.794278950189877,62.071189018111546,118.25,25.0,-0.012858143220596752,56.234696047289,-2.7942039187082592,27.79420391870826,-0.0027689168494493543
2330000000,2340000000,56.178810981888454,-2.794251261021383,27.794251261021383,62.3491308878146,118.5,25.0,-0.022767417546959212,56.20675363294451,-2.7942789501898773,27.794278950189877,-0.012858143220596752
2340000000,2350000000,56.1508691121854,-2.794122679589176,27.794122679589176,62.627070976239615,118.75,25.0,-0.03249958160092703,56.178810981888454,-2.794251261021383,27.794251261021383,-0.022767417546959212
2350000000,2360000000,56.122929023760385,-2.793895005413706,27.793895005413706,62.90500830131467,119.0,25.0,-0.042057433026438495,56.1508691121854,-2.794122679589176,27.794122679589176,-0.03249958160092703
2360000000,2370000000,56.09499169868533,-2.7935700095976976,27.793570009597698,63.18294189853899,119.25,25.0,-0.051443726022508685,56.122929023760385,-2.793895005413706,27.793895005413706,-0.042057433026438495
2370000000,2380000000,56.06705810146101,-2.793149435267434,27.793149435267434,63.46087082070536,119.5,25.0,-0.06066117201616361,56.09499169868533,-2.7935700095976976,27.793570009597698,-0.051443726022508685
2380000000,2390000000,56.03912917929464,-2.792634998007209,27.79263499800721,63.738794137626826,119.75,25.0,-0.0697124403249707,56.06705810146101,-2.793149435267434,27.793149435267434,-0.06066117201616361
2390000000,2400000000,56.011205862373174,-2.792028386287047,27.792028386287047,64.01671093586768,120.0,25.0,-0.07860015880931259,56.03912917929464,-2.792634998007209,27.79263499800721,-0.0697124403249707
2400000000,2410000000,55.98328906413232,-2.7913312618837978,27.791331261883798,64.29462031847858,120.25,25.0,-0.08732691451454588,56.011205862373174,-2.792028386287047,27.792028386287047,-0.07860015880931259
2410000000,2420000000,55.95537968152142,-2.790545260295705,27.790545260295705,64.57252140473581,120.5,25.0,-0.09589525430323897,55.98328906413232,-2.7913312618837978,27.791331261883798,-0.08732691451454588
2420000000,2430000000,55.92747859526419,-2.789671991150559,27.78967199115056,64.8504133298846,120.75,25.0,-0.10430768547759417,55.95537968152142,-2.790545260295705,27.790545260295705,-0.09589525430323897
2430000000,2440000000,55.8995866701154,-2.7887130386075256,27.788713038607526,65.1282952448864,121.0,25.0,-0.1125666763922486,55.92747859526419,-2.789671991150559,27.78967199115056,-0.10430768547759417
2440000000,2450000000,55.8717047551136,-2.7876699617527514,27.78766996175275,65.4061663161701,121.25,25.0,-0.1206746570575925,55.8995866701154,-2.7887130386075256,27.788713038607526,-0.1125666763922486
2450000000,2460000000,55.8438336838299,-2.786544294988829,27.78654429498883,65.68402572538713,121.5,25.0,-0.12863401973373634,55.8717047551136,-2.7876699617527514,27.78766996175275,-0.1206746570575925
2460000000,2470000000,55.81597427461287,-2.7853375484182514,27.78533754841825,65.96187266917033,121.75,25.0,-0.13644711951526522,55.8438336838299,-2.786544294988829,27.78654429498883,-0.12863401973373634
2470000000,2480000000,55.78812733082967,-2.7840512082209123,27.784051208220912,66.23970635889657,122.0,25.0,-0.14411627490697887,55.81597427461287,-2.7853375484182514,27.78533754841825,-0.13644711951526522
2480000000,2490000000,55.76029364110343,-2.7826867370257595,27.78268673702576,66.51752602045308,122.25,25.0,-0.15164376839068971,55.78812733082967,-2.7840512082209123,27.784051208220912,-0.14411627490697887
2490000000,2500000000,55.732473979546924,-2.7812455742766886,27.78124557427669,66.79533089400742,122.5,25.0,-0.15903184698323525,55.76029364110343,-2.7826867370257595,27.78268673702576,-0.15164376839068971
2500000000,2510000000,55.70466910599258,-2.779729136592781,27.77972913659278,67.073120233781,122.75,25.0,-0.16628272278586564,55.732473979546924,-2.7812455742766886,27.78124557427669,-0.15903184698323525
2510000000,2520000000,55.676879766219,-2.7781388181229474,27.778138818122947,67.35089330782608,123.0,25.0,-0.17339857352514576,55.70466910599258,-2.779729136592781,27.77972913659278,-0.16628272278586564
2520000000,2530000000,55.649106692173916,-2.77647599089509,27.77647599089509,67.62864939780636,123.25,25.0,-0.18038154308543186,55.676879766219,-2.7781388181229474,27.778138818122947,-0.17339857352514576
2530000000,2540000000,55.621350602193644,-2.774742005159837,27.774742005159837,67.9063877987808,123.5,25.0,-0.1872337420331589,55.649106692173916,-2.77647599089509,27.77647599089509,-0.18038154308543186
2540000000,2550000000,55.5936122012192,-2.7729381897289826,27.772938189728983,68.18410781899098,123.75,25.0,-0.19395724813294324,55.621350602193644,-2.774742005159837,27.774742005159837,-0.1872337420331589
2550000000,2560000000,55.56589218100902,-2.771065852308652,27.771065852308652,68.46180877965166,124.0,25.0,-0.20055410685577346,55.5936122012192,-2.7729381897289826,27.772938189728983,-0.19395724813294324
2560000000,2570000000,55.53819122034834,-2.769126279827322,27.769126279827322,68.73949001474459,124.25,25.0,-0.20702633187926844,55.56589218100902,-2.771065852308652,27.771065852308652,-0.20055410685577346
2570000000,2580000000,55.51050998525541,-2.767120738758763,27.767120738758763,69.01715087081558,124.5,25.0,-0.21337590558021313,55.53819122034834,-2.769126279827322,27.769126279827322,-0.20702633187926844
2580000000,2590000000,55.482849129184416,-2.7650504754399705,27.76505047543997,69.2947907067747,124.75,25.0,-0.219604779519472,55.51050998525541,-2.767120738758763,27.767120738758763,-0.21337590558021313
2590000000,2600000000,55.455209293225295,-2.7629167163841686,27.76291671638417,69.57240889369956,125.0,25.0,-0.22571487491940223,55.482849129184416,-2.7650504754399705,27.76505047543997,-0.219604779519472
2600000000,2610000000,55.42759110630044,-2.7607206685889736,27.760720668588974,69.8500048146417,125.25,25.0,-0.2317080831338374,55.455209293225295,-2.7629167163841686,27.76291671638417,-0.22571487491940223
2610000000,2620000000,55.39999518535831,-2.758463519839779,27.75846351983978,70.12757786443593,125.5,25.0,-0.23758626611082567,55.42759110630044,-2.7607206685889736,27.760720668588974,-0.2317080831338374
2620000000,2630000000,55.372422135564065,-2.7561464390084396,27.75614643900844,70.40512744951272,125.75,25.0,-0.24335125684821124,55.39999518535831,-2.758463519839779,27.75846351983978,-0.23758626611082567
